id,kind,title_ar,title_ku,layout,item_limit,hue,chroma,show_title,sort_order,is_active,created_at,updated_at
70ddff89-5a0c-4e7c-ad10-0ab5dcc0aef5,bundles,باقات موفرة,پاکێجی خەسڵەتدار,grid,6,20,0,t,3,t,2026-08-19 12:35:56.687498+00,2026-08-23 09:29:36.567269+00
579ac191-80ef-47b5-8792-6e916c496492,categories,"","",grid,8,20,0,t,0,t,2026-08-19 19:31:22.978434+00,2026-08-23 09:29:36.567269+00
433090ee-a093-44b5-95fd-a58de5a3e24a,newest,وصل حديثاً,نوێ گەیشتووە,grid,8,20,0,t,9,t,2026-08-19 11:34:36.576584+00,2026-08-23 09:29:36.567269+00
ebb1b9e3-cc00-4f41-b885-b1965f0cd8dc,featured,منتجات مميزة,بەرهەمی تایبەت,grid,8,20,0,t,4,t,2026-08-19 11:34:36.576584+00,2026-08-23 09:29:36.567269+00
b8b6de6a-6389-46cd-b31e-d7bcc0d0648c,outlet,أوتلت — مخزون راكد بأسعار مخفضة,ئاوتلێت — کۆگای کۆن بە نرخی کەم,grid,8,20,0,t,-1,t,2026-08-21 09:46:05.374867+00,2026-08-23 09:29:36.567269+00
3e3caa5c-a8d1-4f8b-b1a8-6d6cb4ca8ec5,usp,شريط الميزات,ستریپی تایبەتمەندی,grid,8,20,0,f,6,t,2026-08-22 11:44:35.764225+00,2026-08-23 09:29:36.567269+00
ae9a203d-db29-41ef-812d-8095db742e5f,help,الدعم والمساعدة,پشتگیری و یارمەتی,grid,8,20,0,t,12,t,2026-08-22 11:44:35.764225+00,2026-08-23 09:29:36.567269+00
11909e32-fa50-4087-b00a-8167617119f9,vendors,المتاجر والموردين,فرۆشیارەکان,grid,8,20,0,t,10,t,2026-08-22 11:44:35.764225+00,2026-08-23 09:29:36.567269+00
39cfd1a4-88d3-449c-965b-36fa769f8d43,howitworks,كيف يعمل الموقع,چۆن کار دەکات,grid,8,20,0,t,11,t,2026-08-22 11:44:35.764225+00,2026-08-23 09:29:36.567269+00
7fbc3053-64d4-4780-96c1-eb8e07019f60,brands,عروض الماركات,ئۆفەری براندەکان,grid,8,20,0,t,5,f,2026-08-22 11:44:35.764225+00,2026-08-23 09:29:36.567269+00
7b8853db-8423-4d31-84d3-365272849c38,offers,عروض وخصومات,ئۆفەر و داشکاندن,grid,4,20,0,t,1,f,2026-08-19 11:34:36.576584+00,2026-08-23 09:29:36.567269+00
57ff200b-5135-4622-bc13-e6d25dfefa01,banners,البانرات,بانەرەکان,grid,8,20,0,f,-5,f,2026-08-22 11:44:35.764225+00,2026-08-23 09:29:36.567269+00
1d6d6585-c614-4dc0-abf6-d8267e7da2af,hero,صفقة اليوم,ماملەی ئەمڕۆ,grid,3,20,0,f,-1,t,2026-08-19 12:35:56.687498+00,2026-08-23 09:29:36.567269+00
6901cf9b-3d47-4b59-82a8-cc25afb0a60d,expiring,ينتهي قريباً — خصومات كبيرة,بەم زووانە کۆتایی دێت — داشکاندنی گەورە,rail,8,20,0,t,-2,t,2026-08-21 09:46:05.374867+00,2026-08-23 09:29:36.567269+00
