id,category_id,name_ar,name_ku,description_ar,description_ku,brand,sku,price,compare_price,stock,image_url,is_active,is_featured,created_at,updated_at,vendor_id,badges,expiry_date,clearance_kind,stocked_since,batch_no,catalog_item_id,reward_multiplier,reward_bonus_points
e23617c5-9494-42f7-9be3-a437ee6f8317,5868c47f-4785-49bb-8f87-56735ff83592,كومبوزيت Filtek Z350 XT حقنة 4غم,کۆمپۆزیتی Filtek Z350 XT ٤گم,كومبوزيت نانو للترميم الأمامي والخلفي، حقنة 4 غرام.,کۆمپۆزیتی نانۆ بۆ ڕێستۆری پێشەوە و دواوە، ٤ گرام.,3M,DEMO-FILTEK-3MD,32000.00,41000.00,40,/images/p-composite.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,9b7ecc92-58ea-4e1a-9b15-541739421ee5,{},,none,,,34e662f8-6692-4c0e-82a2-5c59d35c7032,1,0
6efedc56-472d-4c0d-a82f-0555e9c38121,51cca89f-6cb4-4656-ae22-354da2f9ed55,قفازات نتريل بدون بودرة (100 حبة),دەستکێشی نایترایل بێ پۆدرە (١٠٠ دانە),قفازات فحص نتريل خالية من البودرة، عبوة 100 حبة.,دەستکێشی پشکنینی نایترایل بێ پۆدرە، پاکەتی ١٠٠ دانە.,3M,DEMO-NITRILE-3MD,14000.00,23000.00,40,/images/p-gloves.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,9b7ecc92-58ea-4e1a-9b15-541739421ee5,{},,none,,,71b50e12-8fcd-4115-9945-4cc01f53fb0c,1,0
0c5f5705-b165-442a-97ec-f26eb893b477,5868c47f-4785-49bb-8f87-56735ff83592,كومبوزيت Filtek Z350 XT حقنة 4غم,کۆمپۆزیتی Filtek Z350 XT ٤گم,كومبوزيت نانو للترميم الأمامي والخلفي، حقنة 4 غرام.,کۆمپۆزیتی نانۆ بۆ ڕێستۆری پێشەوە و دواوە، ٤ گرام.,3M,DEMO-FILTEK-BSC,34500.00,41000.00,65,/images/p-composite.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,7d68f829-9d61-47c4-a843-220357f43486,{},,none,,,34e662f8-6692-4c0e-82a2-5c59d35c7032,1,0
cb405cba-e40d-47cd-bbd3-8c15c5d6c8e7,51cca89f-6cb4-4656-ae22-354da2f9ed55,قفازات نتريل بدون بودرة (100 حبة),دەستکێشی نایترایل بێ پۆدرە (١٠٠ دانە),قفازات فحص نتريل خالية من البودرة، عبوة 100 حبة.,دەستکێشی پشکنینی نایترایل بێ پۆدرە، پاکەتی ١٠٠ دانە.,3M,DEMO-NITRILE-BSC,16500.00,23000.00,65,/images/p-gloves.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,7d68f829-9d61-47c4-a843-220357f43486,{},,none,,,71b50e12-8fcd-4115-9945-4cc01f53fb0c,1,0
48efaf25-e6c4-4b3a-bf44-1db39e7a4939,5868c47f-4785-49bb-8f87-56735ff83592,كومبوزيت Filtek Z350 XT حقنة 4غم,کۆمپۆزیتی Filtek Z350 XT ٤گم,كومبوزيت نانو للترميم الأمامي والخلفي، حقنة 4 غرام.,کۆمپۆزیتی نانۆ بۆ ڕێستۆری پێشەوە و دواوە، ٤ گرام.,3M,DEMO-FILTEK-GCI,30500.00,41000.00,25,/images/p-composite.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,{},,none,,,34e662f8-6692-4c0e-82a2-5c59d35c7032,1,0
71961be5-c72b-4a21-a80e-86e8f0cc04de,51cca89f-6cb4-4656-ae22-354da2f9ed55,قفازات نتريل بدون بودرة (100 حبة),دەستکێشی نایترایل بێ پۆدرە (١٠٠ دانە),قفازات فحص نتريل خالية من البودرة، عبوة 100 حبة.,دەستکێشی پشکنینی نایترایل بێ پۆدرە، پاکەتی ١٠٠ دانە.,3M,DEMO-NITRILE-GCI,12500.00,23000.00,25,/images/p-gloves.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,{},,none,,,71b50e12-8fcd-4115-9945-4cc01f53fb0c,1,0
41bd5ef8-f12b-4eae-8be8-b55151b520d2,5868c47f-4785-49bb-8f87-56735ff83592,كومبوزيت Filtek Z350 XT حقنة 4غم,کۆمپۆزیتی Filtek Z350 XT ٤گم,كومبوزيت نانو للترميم الأمامي والخلفي، حقنة 4 غرام.,کۆمپۆزیتی نانۆ بۆ ڕێستۆری پێشەوە و دواوە، ٤ گرام.,3M,DEMO-FILTEK-ORO,36000.00,41000.00,80,/images/p-composite.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,e557cc88-e944-46eb-be3b-af73d908508e,{},,none,,,34e662f8-6692-4c0e-82a2-5c59d35c7032,1,0
2800f511-2e2b-4c84-a7e2-0a7e84a6bfa2,51cca89f-6cb4-4656-ae22-354da2f9ed55,قفازات نتريل بدون بودرة (100 حبة),دەستکێشی نایترایل بێ پۆدرە (١٠٠ دانە),قفازات فحص نتريل خالية من البودرة، عبوة 100 حبة.,دەستکێشی پشکنینی نایترایل بێ پۆدرە، پاکەتی ١٠٠ دانە.,3M,DEMO-NITRILE-ORO,18000.00,23000.00,80,/images/p-gloves.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,e557cc88-e944-46eb-be3b-af73d908508e,{},,none,,,71b50e12-8fcd-4115-9945-4cc01f53fb0c,1,0
8a8b19d8-82d3-4233-a2fc-bc354b1487ac,5868c47f-4785-49bb-8f87-56735ff83592,كومبوزيت Filtek Z350 XT حقنة 4غم,کۆمپۆزیتی Filtek Z350 XT ٤گم,كومبوزيت نانو للترميم الأمامي والخلفي، حقنة 4 غرام.,کۆمپۆزیتی نانۆ بۆ ڕێستۆری پێشەوە و دواوە، ٤ گرام.,3M,DEMO-FILTEK-TOK,33200.00,41000.00,52,/images/p-composite.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,70a07ff3-7043-4af4-a786-ceaff0562092,{},,none,,,34e662f8-6692-4c0e-82a2-5c59d35c7032,1,0
1678b960-c428-436f-9c5c-ac147ea977b1,51cca89f-6cb4-4656-ae22-354da2f9ed55,قفازات نتريل بدون بودرة (100 حبة),دەستکێشی نایترایل بێ پۆدرە (١٠٠ دانە),قفازات فحص نتريل خالية من البودرة، عبوة 100 حبة.,دەستکێشی پشکنینی نایترایل بێ پۆدرە، پاکەتی ١٠٠ دانە.,3M,DEMO-NITRILE-TOK,15200.00,23000.00,52,/images/p-gloves.jpg,t,f,2026-08-22 04:32:13.964864+00,2026-08-22 04:32:13.964864+00,70a07ff3-7043-4af4-a786-ceaff0562092,{},,none,,,71b50e12-8fcd-4115-9945-4cc01f53fb0c,1,0
