id,title_ar,title_ku,image_url,link,sort_order,is_active,created_at,slot_key,vendor_id,subtitle_ar,subtitle_ku,cta_ar,cta_ku,bg_color,text_color,starts_at,ends_at
93024232-9a17-421e-8d50-d6528bba8607,"","",https://static.vecteezy.com/system/resources/thumbnails/012/820/395/small/dentist-dental-care-dental-clinic-whitening-banner-vector.jpg,,0,t,2026-08-20 14:45:46.883051+00,cart,,,,,,"linear-gradient(135deg,#0b4f9c,#22a7f0)",#ffffff,,
4d3a082d-81f6-4310-a390-0b3715597854,"","",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgS1MRThDeefAcqdX2lCuJujp62OnwY4wA4nZDPlFMew&s=10,,0,t,2026-08-20 15:03:37.984546+00,home_hero,,,,,,"linear-gradient(135deg,#0b4f9c,#22a7f0)",#ffffff,,
a2a4ff14-4ea1-467a-9ef8-8a5bf03e2452,"","",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgS1MRThDeefAcqdX2lCuJujp62OnwY4wA4nZDPlFMew&s=10,,0,t,2026-08-20 15:05:18.131435+00,home_below_hero,,,,,,"linear-gradient(135deg,#0b4f9c,#22a7f0)",#ffffff,,
e94d3b9c-ae75-4359-bba5-5e8e5c582ffa,"","",https://t4.ftcdn.net/jpg/04/12/80/99/360_F_412809935_keZbtdRiVYWqqtPx0Jz3L8t3ZaAEIDys.jpg,,0,t,2026-08-20 15:06:10.139716+00,home_below_hero,,,,,,"linear-gradient(135deg,#0b4f9c,#22a7f0)",#ffffff,,
e3c84a21-3f41-4d7b-951c-ae55eb7fd7a7,"","",https://dentemclinic.com/wp-content/uploads/2024/08/Dentem_Why-Choose-Us_update-01-scaled.jpg,,0,t,2026-08-20 17:07:31.494348+00,home_hero,5581377c-f475-42e6-a8ce-89e64a1c95ba,,,,,"linear-gradient(135deg,#0b4f9c,#22a7f0)",#ffffff,2026-08-20 17:07:00+00,
2d80d82e-8334-4f59-9c9e-92dbd133ac7d,جودة يابانية,کوالیتی ژاپۆنی,/images/banner-dental-1.jpg,/vendor/tokuyama-center-70a07f,3,t,2026-08-20 17:25:03.832117+00,product_page,70a07ff3-7043-4af4-a786-ceaff0562092,منتجات توكوياما المعتمدة,بەرهەمەکانی تۆکویامای پەسەندکراو,اعرف أكثر,زیاتر بزانە,"linear-gradient(135deg,#046b5c,#3fd0a8)",#ffffff,,
73f0562a-858e-4409-ad92-4917ccf17840,توكوياما للحشوات,تۆکویاما بۆ پڕکردنەوە,/images/banner-dental-2.jpg,/vendor/tokuyama-center-70a07f,1,t,2026-08-20 17:25:03.832117+00,home_mid,70a07ff3-7043-4af4-a786-ceaff0562092,أسعار جملة خاصة,نرخی کۆمەڵەی تایبەت,تسوق,بکڕە,"linear-gradient(135deg,#9d174d,#fb7185)",#ffffff,,
85ae83e7-956c-49f2-a480-63686915c4de,عرض الأسبوع,ئۆفەری هەفتە,/images/banner-dental-3.jpg,/vendor/tokuyama-center-70a07f,2,t,2026-08-20 17:25:03.832117+00,offers_page,70a07ff3-7043-4af4-a786-ceaff0562092,وفر أكثر عند شراء 5 قطع,زیاتر پاشەکەوت بکە بە ٥ دانە,شاهد العرض,ئۆفەر ببینە,"linear-gradient(135deg,#b45309,#fbbf24)",#1a1206,,
0b875a88-49f9-4218-889a-53350de21dd2,أعد الطلب بسهولة,بە ئاسانی دووبارە داوا بکە,/images/banner-dental-1.jpg,/vendor/bisco-supply-7d68f8,6,t,2026-08-20 17:25:03.832117+00,orders_page,7d68f829-9d61-47c4-a843-220357f43486,منتجات بيسكو الأكثر مبيعاً,فرۆشترین بەرهەمی بیسکۆ,تسوق,بکڕە,"linear-gradient(135deg,#0b4f9c,#22a7f0)",#ffffff,,
ba123ee6-4ba6-4291-8657-a55ce2108bbc,بيسكو لمواد اللصق,بیسکۆ بۆ ماددەی نووساندن,/images/banner-dental-2.jpg,/vendor/bisco-supply-7d68f8,4,t,2026-08-20 17:25:03.832117+00,home_below_hero,7d68f829-9d61-47c4-a843-220357f43486,خصم 20% هذا الشهر,٢٠% داشکاندن ئەم مانگە,تسوق الآن,ئێستا بکڕە,"linear-gradient(135deg,#4c1d95,#a78bfa)",#ffffff,,
