id,user_id,role,created_at
adbb2dbe-1e37-40a6-928f-ebf288574113,1ca0d52c-7141-46c5-b222-0a85056da521,user,2026-08-19 09:54:05.711035+00
f637d469-cab3-4c56-a552-521164f413db,1ca0d52c-7141-46c5-b222-0a85056da521,admin,2026-08-19 09:54:12.169209+00
9541d7b7-1e8c-488d-9343-c567765d13e7,d141cf10-e9e0-4c2f-b43b-c58eca7a6abb,user,2026-08-19 13:27:50.803452+00
d92ca2d5-f65b-40dd-b680-5c26933716aa,d141cf10-e9e0-4c2f-b43b-c58eca7a6abb,brand_manager,2026-08-19 13:27:51.066742+00
e50cfc67-6e5a-4c8f-88b5-e95fb97c92e4,b2d14ab1-7480-40fe-bc9a-491b52419cfe,user,2026-08-20 04:42:00.66727+00
91bd3283-c94a-4d46-89c5-982484a406d7,14a0871e-fef0-4831-9c47-1f0c7d8be679,user,2026-08-20 05:46:16.612268+00
243f7480-2f1a-4da3-ad0f-869e4ae121d2,14a0871e-fef0-4831-9c47-1f0c7d8be679,brand_manager,2026-08-20 05:46:16.947392+00
e2b7fad2-0f40-418c-a9b0-ad2de9dc4e7c,530bd01a-44e9-4239-ad25-83623c03c15d,user,2026-08-20 17:12:20.823182+00
7d5ad050-14d5-4e5b-bde0-1852aeb997b9,75e98c53-c3c1-4408-9ebf-8f40496f3a70,user,2026-08-20 17:12:21.875434+00
ffffd280-ec61-4a75-8a30-e4fc48590415,2bb87a53-ddde-437a-b009-32d1e0094ae3,user,2026-08-20 17:12:22.551119+00
2a4d20a8-ebc2-4eba-951e-5097c3d11afa,08154630-0372-485b-a7c1-92e4b39fdfd1,user,2026-08-20 17:12:23.184304+00
7312f3f6-8bdf-4d90-ba6a-2373dcc1ad24,8d4a489a-d01b-41e6-b137-4d54fec1490e,user,2026-08-20 17:12:23.830406+00
9951b814-17e2-4fb7-8952-736b38d7a126,530bd01a-44e9-4239-ad25-83623c03c15d,brand_manager,2026-08-20 17:12:21.138+00
345ede2f-d615-4625-b26f-b75609a33313,75e98c53-c3c1-4408-9ebf-8f40496f3a70,brand_manager,2026-08-20 17:12:21.967186+00
3e6a2a7b-25ef-466c-8859-bfb18f973b09,2bb87a53-ddde-437a-b009-32d1e0094ae3,brand_manager,2026-08-20 17:12:22.660504+00
49a4d218-5c7c-4ff5-a0bf-5afe09c72d5b,08154630-0372-485b-a7c1-92e4b39fdfd1,brand_manager,2026-08-20 17:12:23.306097+00
5f425165-92d0-49e0-b137-2af3312e342c,8d4a489a-d01b-41e6-b137-4d54fec1490e,brand_manager,2026-08-20 17:12:23.928778+00
c69ec7aa-e817-4102-b420-9f37e900e67f,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,user,2026-08-20 17:12:35.886605+00
001b26db-9635-477d-8ff3-d987bfc5f90e,90250baa-f629-449a-a7f0-5d7fc098d793,user,2026-08-20 17:12:36.081328+00
9361b21a-5da7-4830-86f3-ea78484758b9,3e7f7bdb-15f1-470c-87d5-9079a310b8df,user,2026-08-20 17:12:36.280362+00
eaab2999-da9d-400a-8146-8d79fa95b0cb,12a6e612-65cc-4939-aa4b-7cb49d42bd14,user,2026-08-22 10:14:38.85856+00
51f13b53-71a5-4ba9-a627-d8d21396546b,12a6e612-65cc-4939-aa4b-7cb49d42bd14,brand_manager,2026-08-22 10:14:39.097532+00
11fff5e0-56a1-4de7-9eb0-eb5440fb729f,482cc395-10b3-403f-a565-0415a881d4b8,user,2026-08-22 10:29:15.934308+00
185cbf8e-2a03-4ca8-bf56-b9c0bc3f249f,482cc395-10b3-403f-a565-0415a881d4b8,brand_manager,2026-08-22 10:29:16.304637+00
46be1581-0a45-4a98-810a-8b06f4eab094,b3140340-bcc3-4968-994b-6a95f3fb4288,user,2026-08-22 12:38:52.206271+00
91327fa0-11e0-4a4e-8807-3f661b15be5d,156e1cd8-5a4b-4291-9894-c01f5d4d3218,user,2026-08-27 17:16:16.291294+00
