id,key,points,is_active,sort_order,created_at,updated_at
d99e2ff1-906d-4032-b427-40b550690079,purchase_per_1000_iqd,1,t,10,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
d9a66df6-131d-4911-a1f2-51d0f5ffa696,first_order,500,t,20,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
5091bf33-5ba3-4de3-a5c9-2d56cf76912f,review,50,t,30,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
a6cabc2c-00f0-4880-9d42-82bc3869e006,review_photo,100,t,40,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
64542bd6-486f-4616-beb1-486f9ef9ed83,referral_inviter,500,t,50,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
1a33138a-9613-48e0-8bcd-7cd92a3eff90,referral_invitee,500,t,60,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
c4dede53-9b81-40f9-aa14-944a2b33a8e5,streak_3,500,t,70,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
f71ea263-2d8b-4450-8ce3-eaf16ed48797,streak_6,1500,t,80,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
507d22e2-f113-41c3-83f5-5f7ba91402e4,streak_12,5000,t,90,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
6c14de8f-8f6d-4b85-a13a-a48e5ae353f8,challenge_target_iqd,500000,t,100,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
6e9afa53-bdae-4e3f-89d6-ed61891dccf1,challenge_bonus,1000,t,110,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
84c46c20-09af-45dd-b482-a7a1cbafcc5c,profile_clinic_name,50,t,120,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
c0168cef-b012-4bba-bc15-9be436f222c8,profile_specialty,50,t,130,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
3ff87930-ec64-4337-ab3d-833f86513041,profile_city,50,t,140,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
ec8219cb-f11c-4285-b882-36f26db2b17f,profile_categories,50,t,150,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
f1d43e31-df8c-49d9-a434-343b157c41e3,profile_complete,200,t,160,2026-08-22 06:26:26.676822+00,2026-08-22 06:26:26.676822+00
