id,page,kind,sort_order,is_active,config,created_at,updated_at
0e32c637-121a-4b91-886c-3c122266963f,home,section,10,t,"{""section"": ""banners""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
43f3c1fb-14ec-4715-90d2-e773a9e14dd0,home,section,20,t,"{""section"": ""categories""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
e7d7dbfd-787e-478e-bdb7-bee60bb730cb,home,section,30,t,"{""section"": ""hero""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
5c7f784f-8ffb-4502-beb7-9504b582f1c5,home,section,40,t,"{""section"": ""usp""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
2d4aade7-c9fe-4e4e-b337-4953579719b2,home,section,50,t,"{""slot"": ""home_below_hero"", ""section"": ""banner_slot""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
26cd6c13-92c7-4f19-9a05-7d0798a34e04,home,section,60,t,"{""section"": ""expiring""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
11f6070d-9419-4b06-ab15-2fefe7de73d0,home,section,70,t,"{""section"": ""outlet""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
c2c1d88d-a84f-4d1c-bc07-bb8d384331e1,home,section,80,t,"{""section"": ""offers""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
c28a7dcc-8af5-4f4c-8412-2a9db1bc62a3,home,section,90,t,"{""slot"": ""home_mid"", ""section"": ""banner_slot""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
ff774b67-1a3e-414e-8193-f9dffd344793,home,section,100,t,"{""section"": ""bundles""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
13e251fa-2353-441c-bcf0-4f8ab6ab2d6b,home,section,110,t,"{""section"": ""brands""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
435b88b8-144c-4c65-b1c3-b56a3abdf708,home,section,120,t,"{""section"": ""featured""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
46d1e4b3-5271-4c0d-ab4c-6e706badc08e,home,section,130,t,"{""section"": ""newest""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
ee92df86-c1e3-4165-acea-6b1f4bfc67aa,home,section,140,t,"{""section"": ""vendor_rail""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
3481a87f-f2db-4cfd-a977-466258e14406,home,section,150,t,"{""section"": ""how_it_works""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
160ed452-f999-482e-a2ea-5770bd054bca,home,section,160,t,"{""section"": ""help_cta""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
3ea58590-c6a7-4625-92f7-b73ec2aeb858,home,section,170,t,"{""slot"": ""home_footer"", ""section"": ""banner_slot""}",2026-08-23 11:31:57.208686+00,2026-08-23 11:31:57.208686+00
