id,order_id,product_id,name_ar,name_ku,unit_price,quantity,image_url,vendor_id,fulfillment_status,commission_type,commission_value,commission_amount,commission_scope,bundle_id,accepted_at
8d1a152d-7be9-47c5-8c0c-9183adcc563c,55c17a68-f459-4054-ac08-505a48b38898,46c389b4-6013-4d01-ae20-7916f53d0c84,قفازات نتريل (100),دەستکێشی نایترایل (١٠٠),12750.00,1,/images/p-gloves.jpg,,new,,,0,,,
99fd895f-5460-451d-ab12-2a76671e9b54,2118219c-d077-4298-a41b-236598634a99,516ec8bf-ff24-4cea-84d8-477570bf8262,طقم أدوات فحص الأسنان,سێتی ئامێری پشکنینی ددان,33750.00,3,,,new,,,0,,,
9e4bf459-f77c-418d-a477-d29ae44e2c07,2118219c-d077-4298-a41b-236598634a99,bd1baebf-6a02-4655-b105-26ba718a3f40,جهاز تعقيم أوتوكلاف 18 لتر,ئامێری دەرمانکردن ئۆتۆکلاڤ ١٨ لیتر,1450000.00,1,/images/p-autoclave.jpg,,new,,,0,,,
74ace607-45f5-46b1-9ca6-ab7c6a8a7596,2b8ab14c-78e0-423b-91a2-79e06c61fb2e,46c389b4-6013-4d01-ae20-7916f53d0c84,قفازات نتريل (100),دەستکێشی نایترایل (١٠٠),12750.00,6,/images/p-gloves.jpg,,new,,,0,,,
8ca8f7aa-4226-4380-bfb8-607b4b86111e,2b8ab14c-78e0-423b-91a2-79e06c61fb2e,bd1baebf-6a02-4655-b105-26ba718a3f40,جهاز تعقيم أوتوكلاف 18 لتر,ئامێری دەرمانکردن ئۆتۆکلاڤ ١٨ لیتر,1450000.00,4,/images/p-autoclave.jpg,,new,,,0,,,
0e5d660d-f1ab-4648-a7de-fe2ea802feb1,aa69cc3d-ea5a-4ad5-8143-f8eda25b1d05,c174ef26-f847-400b-8964-9dca54d87f94,كمبوزيت Filtek Z350 XT,کۆمپۆزیتی Filtek Z350 XT,54400.00,14,,,new,,,0,,,
dbe43301-c957-4ac8-851f-0d3f638ee04f,7839f952-31ec-4d23-af47-64a7c748c333,bd1baebf-6a02-4655-b105-26ba718a3f40,جهاز تعقيم أوتوكلاف 18 لتر,ئامێری دەرمانکردن ئۆتۆکلاڤ ١٨ لیتر,1450000.00,1,/images/p-autoclave.jpg,,new,,,0,,,
81f06933-b984-4e7a-b09c-fcadef2d999e,7839f952-31ec-4d23-af47-64a7c748c333,fb8fa217-7cc5-4bed-9076-bc4960083735,حاصرات تقويم معدنية,براکێتی مەتەلی ڕێکخستن,120000.00,3,/images/p-ortho.jpg,,new,,,0,,,
f932f3e0-f1b5-47a8-b9a7-d12a739e08dc,7839f952-31ec-4d23-af47-64a7c748c333,bcfc51ef-7ea7-4131-83f4-d628c9fcc97a,قبضة بطيئة NSK Student,هەندپیسی هێواشی NSK,240000.00,2,,,new,,,0,,,
a1496b24-3b67-460c-9106-741946b82fe4,ede3daa9-44a5-4c76-94d2-6e6557655b8c,8768f077-4f09-40e8-9613-bf432f2e55bc,كومبوزيت ضوئي A2,کۆمپۆزیتی ڕووناکی A2,72000.00,3,/images/p-composite.jpg,,new,,,0,,,
05a85098-4b76-4e21-9da3-6390e9a56e28,ede3daa9-44a5-4c76-94d2-6e6557655b8c,fb8fa217-7cc5-4bed-9076-bc4960083735,حاصرات تقويم معدنية,براکێتی مەتەلی ڕێکخستن,120000.00,1,/images/p-ortho.jpg,,new,,,0,,,
2f3d4a24-7011-4220-ab8b-11452d671da7,c6053d77-b736-4b36-a78c-eba7874c3d56,8768f077-4f09-40e8-9613-bf432f2e55bc,كومبوزيت ضوئي A2,کۆمپۆزیتی ڕووناکی A2,72000.00,3,/images/p-composite.jpg,,new,,,0,,,
3940ad96-2943-4fbb-aa40-6591923ada2d,c6053d77-b736-4b36-a78c-eba7874c3d56,46c389b4-6013-4d01-ae20-7916f53d0c84,قفازات نتريل (100),دەستکێشی نایترایل (١٠٠),12750.00,3,/images/p-gloves.jpg,,new,,,0,,,
6eddc8df-18bd-4e3c-ae9a-6b86f935a44e,3e89a8a4-9716-41ed-8b08-64f2e60bf03a,bcfc51ef-7ea7-4131-83f4-d628c9fcc97a,قبضة بطيئة NSK Student,هەندپیسی هێواشی NSK,240000.00,3,,,new,,,0,,,
7487bfc1-1c36-45cc-ab30-ac8eea0defec,3e89a8a4-9716-41ed-8b08-64f2e60bf03a,cba8f9b2-cd32-4808-b4c2-003606419dea,Proxyt معجون تلميع,پەستەی سافکردنی Proxyt,42000.00,3,,,new,,,0,,,
