id,product_id,min_qty,price,created_at
aed17431-be81-4cf4-bce0-d6050c1b37a8,b39acf4e-ba43-4102-82ae-49fb23ef7b06,3,53940,2026-08-19 12:35:56.687498+00
df7048d4-0a81-432f-8bc1-d5a7590826ac,b39acf4e-ba43-4102-82ae-49fb23ef7b06,6,50460,2026-08-19 12:35:56.687498+00
12c95572-6a50-438f-8fc0-f8edc9c2e0ad,b39acf4e-ba43-4102-82ae-49fb23ef7b06,12,46400,2026-08-19 12:35:56.687498+00
338f3951-b0ae-404d-9c5b-d520a2f2339d,390f2e3a-4a5c-4017-b729-f5445b9948bd,3,66960,2026-08-19 12:35:56.687498+00
6c2cf06d-a1e2-4292-9fcc-fc82ac6e6cc8,390f2e3a-4a5c-4017-b729-f5445b9948bd,6,62640,2026-08-19 12:35:56.687498+00
595250ba-f897-4b87-81c9-1cb6ce4035ca,390f2e3a-4a5c-4017-b729-f5445b9948bd,12,57600,2026-08-19 12:35:56.687498+00
7d0d2e86-f747-4979-92fa-1f1c7fea85d9,7e0e93a1-c6bc-4adb-bc7e-bb75c1dbcbd5,3,120900,2026-08-19 12:35:56.687498+00
b68b85d6-61b1-4f5a-8b36-6639a5746146,7e0e93a1-c6bc-4adb-bc7e-bb75c1dbcbd5,6,113100,2026-08-19 12:35:56.687498+00
4bffdd2e-c004-4a0b-a6f9-45a649401923,7e0e93a1-c6bc-4adb-bc7e-bb75c1dbcbd5,12,104000,2026-08-19 12:35:56.687498+00
f79db5c2-93f2-420e-b35a-d4485eced76c,92fa1363-e1f5-49c9-aaa0-1aaef7db57a9,3,78120,2026-08-19 12:35:56.687498+00
031f43a5-4368-4499-bb9f-ef92815a3601,92fa1363-e1f5-49c9-aaa0-1aaef7db57a9,6,73080,2026-08-19 12:35:56.687498+00
988ac879-5ef9-4147-b01d-cc156ac924f8,92fa1363-e1f5-49c9-aaa0-1aaef7db57a9,12,67200,2026-08-19 12:35:56.687498+00
a897d14a-00c7-4d3a-b49e-b1449ab3926e,783e85b1-55e7-4475-8660-a91ff8a9e01b,3,89280,2026-08-19 12:35:56.687498+00
a2175dd0-9287-489f-b92c-83eb070d662c,783e85b1-55e7-4475-8660-a91ff8a9e01b,6,83520,2026-08-19 12:35:56.687498+00
d400299a-24af-4039-8a35-444ba25fa366,783e85b1-55e7-4475-8660-a91ff8a9e01b,12,76800,2026-08-19 12:35:56.687498+00
bee0b8cb-7ef3-4517-83ab-702a99d4bb7f,47450476-7029-4f57-a932-213a59f79a12,3,41850,2026-08-19 12:35:56.687498+00
e8bd1e52-5798-4434-9653-e6ae5806d918,47450476-7029-4f57-a932-213a59f79a12,6,39150,2026-08-19 12:35:56.687498+00
8b836a04-d6cc-479d-839c-0f5bde200ddc,47450476-7029-4f57-a932-213a59f79a12,12,36000,2026-08-19 12:35:56.687498+00
bd949315-b39f-4304-9805-586e4713f070,ef48a377-f389-4029-b08e-2e3a64edc484,3,68820,2026-08-19 12:35:56.687498+00
5f801a5c-ea58-4d89-a770-f7a0e1ff4e42,ef48a377-f389-4029-b08e-2e3a64edc484,6,64380,2026-08-19 12:35:56.687498+00
63c0782f-3871-4fbc-b1b3-a5a94da5fb54,ef48a377-f389-4029-b08e-2e3a64edc484,12,59200,2026-08-19 12:35:56.687498+00
0239cb51-2eb5-4ba0-9522-084e11c947d3,81f5bf17-98de-4003-b2cd-04b82182b001,3,24180,2026-08-19 12:35:56.687498+00
96af7ee5-fb3b-4d3c-8ace-d32d73b9cf8d,81f5bf17-98de-4003-b2cd-04b82182b001,6,22620,2026-08-19 12:35:56.687498+00
1f6d707c-1a3d-434f-a33f-a9a4d31df6ae,81f5bf17-98de-4003-b2cd-04b82182b001,12,20800,2026-08-19 12:35:56.687498+00
3d5a4227-d460-4ece-80b4-dc9068ada92e,4a3202e3-572a-4aea-993c-70b8506c7b44,3,57660,2026-08-19 12:35:56.687498+00
418dd96d-072d-484f-b653-a3cb0deef828,4a3202e3-572a-4aea-993c-70b8506c7b44,6,53940,2026-08-19 12:35:56.687498+00
692211c0-718a-4303-b2c2-8a2dea30bb4c,4a3202e3-572a-4aea-993c-70b8506c7b44,12,49600,2026-08-19 12:35:56.687498+00
fe403710-bdef-4cd4-ae2d-91ae1ec80d50,c174ef26-f847-400b-8964-9dca54d87f94,3,63240,2026-08-19 12:35:56.687498+00
a7b71963-9dc9-4113-bb5e-b732c42ea1d1,c174ef26-f847-400b-8964-9dca54d87f94,6,59160,2026-08-19 12:35:56.687498+00
4b9d5e38-8800-4227-893f-37689e011657,c174ef26-f847-400b-8964-9dca54d87f94,12,54400,2026-08-19 12:35:56.687498+00
83a48651-f732-4651-ae57-aa02fa14e022,7cdeb3b4-5a9e-4981-b8d2-f1afd9b2ef88,3,85560,2026-08-19 12:35:56.687498+00
61fb5a31-1833-4e3b-9b04-0e3fb3989e7e,7cdeb3b4-5a9e-4981-b8d2-f1afd9b2ef88,6,80040,2026-08-19 12:35:56.687498+00
c79fa3c7-be21-478c-9214-1ebc0d97e536,7cdeb3b4-5a9e-4981-b8d2-f1afd9b2ef88,12,73600,2026-08-19 12:35:56.687498+00
934391e8-93dd-4d70-8374-d7f9bd4ce014,7e49cab2-673f-4f6e-a4f8-c9c76787ad52,3,91140,2026-08-19 12:35:56.687498+00
0b01d041-652d-42e7-b01c-3c4aa3f1ea2f,7e49cab2-673f-4f6e-a4f8-c9c76787ad52,6,85260,2026-08-19 12:35:56.687498+00
2f413799-173e-469c-b088-1c3d37417c6e,7e49cab2-673f-4f6e-a4f8-c9c76787ad52,12,78400,2026-08-19 12:35:56.687498+00
