id,user_id,balance,is_frozen,created_at,updated_at
b0f82500-cfea-43eb-a3aa-9713bedda3bf,8d4a489a-d01b-41e6-b137-4d54fec1490e,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
6aee2200-e8c6-43be-97b5-9455e45dee02,d141cf10-e9e0-4c2f-b43b-c58eca7a6abb,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
628e271d-278b-4b7b-8d31-a64aed278100,b2d14ab1-7480-40fe-bc9a-491b52419cfe,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
5f40cb8c-b688-4a57-918e-e89a136a8f31,530bd01a-44e9-4239-ad25-83623c03c15d,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
b49c646c-2f45-41a6-9d59-55a9b52e8a17,90250baa-f629-449a-a7f0-5d7fc098d793,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
a4cd3535-283e-4ac5-a123-15cb6c0a3d49,75e98c53-c3c1-4408-9ebf-8f40496f3a70,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
b01ff3dc-6a60-48dc-b864-4436617b5d79,14a0871e-fef0-4831-9c47-1f0c7d8be679,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
52a06e23-81a9-4d86-8a78-04ba41124f4b,2bb87a53-ddde-437a-b009-32d1e0094ae3,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
e1aa6a73-94bc-4572-bcaa-fe34d5708b6b,08154630-0372-485b-a7c1-92e4b39fdfd1,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 06:41:13.17347+00
e1287111-18d1-433d-9673-239f6e8407d4,1ca0d52c-7141-46c5-b222-0a85056da521,5005,f,2026-08-22 06:41:13.17347+00,2026-08-22 07:06:42.37019+00
0fd8cc63-ae4e-494a-801a-577a98cbcb36,3e7f7bdb-15f1-470c-87d5-9079a310b8df,5000,f,2026-08-22 06:41:13.17347+00,2026-08-22 08:56:22.721032+00
0bacee4b-4df3-4f2f-9734-a728d503a3a5,482cc395-10b3-403f-a565-0415a881d4b8,0,f,2026-08-22 10:36:19.834585+00,2026-08-22 10:36:19.834585+00
8966c875-6a25-423f-95ae-4aa75fd2bbc2,b3140340-bcc3-4968-994b-6a95f3fb4288,0,f,2026-08-22 12:38:52.888884+00,2026-08-22 12:38:52.888884+00
2cc7fb57-0d50-441f-bb0c-7e6ca2ed1aa8,6222e960-a6e5-472f-a4ce-c55f4d2ec4cb,3393,f,2026-08-22 06:41:13.17347+00,2026-08-23 17:03:08.454157+00
70efb45f-53f9-4ac4-a318-1c74bdf30e71,156e1cd8-5a4b-4291-9894-c01f5d4d3218,0,f,2026-08-27 17:16:17.625169+00,2026-08-27 17:16:17.625169+00
