addresses,10
badge_fees,10
banner_slots,9
banners,20
brand_cards,16
bundles,5
catalog_items,116
categories,15
clearance_rules,0
coupons,2
design_settings,1
flash_deals,10
home_sections,14
marketing_plans,6
notifications,65
offer_products,9
offers,5
order_items,129
orders,50
page_blocks,17
page_documents,1
product_reviews,1
product_tiers,36
products,126
profiles,16
push_subscriptions,0
reward_rules,16
store_settings,1
ui_texts,0
user_roles,26
usp_items,0
vendor_applications,2
vendor_charges,116
vendor_members,9
vendor_reward_points,1
vendor_settlements,3
vendor_shipping_rates,1
vendors,8
wallet_card_redemptions,0
wallet_cards,0
wallet_transactions,22
wallets,15
